N, ck
250, 6068774.00
500, 24677750.00
750, 54627698.00
1000, 95540140.00
1500, 215921426.00
2000, 378927232.00
2550, 621819748.00
3000, 855217676.00
250, 6115178.00
500, 24937606.00
750, 55229116.00
1000, 95926628.00
1500, 214963728.00
2000, 378857062.00
2550, 616391812.00
3000, 849699976.00
250, 6159100.00
500, 24642276.00
750, 54046474.00
1000, 97433222.00
1500, 212713624.00
2000, 380857506.00
2550, 614766688.00
3000, 854237578.00
250, 6112920.00
500, 24741952.00
750, 53891930.00
1000, 96173148.00
1500, 217231728.00
2000, 379941214.00
2550, 618959286.00
3000, 850161630.00
250, 6110668.00
500, 24770538.00
750, 55038032.00
1000, 96165992.00
1500, 216175024.00
2000, 379921836.00
2550, 619534292.00
3000, 854076426.00
250, 6113746.00
500, 24886550.00
750, 54909436.00
1000, 95607858.00
1500, 213750800.00
2000, 380291040.00
2550, 617487438.00
3000, 851171376.00
250, 6117340.00
500, 24895566.00
750, 54831664.00
1000, 96405736.00
1500, 214385478.00
2000, 380224086.00
2550, 615826350.00
3000, 850740264.00
250, 6115764.00
500, 24847486.00
750, 54097930.00
1000, 95900994.00
1500, 215817674.00
2000, 379181010.00
2550, 620406864.00
3000, 849556470.00
250, 6147434.00
500, 24772604.00
750, 54935630.00
1000, 96230460.00
1500, 215085496.00
2000, 381185338.00
2550, 619622654.00
3000, 850372194.00
250, 6141368.00
500, 24938032.00
750, 55160152.00
1000, 96123256.00
1500, 215009492.00
2000, 380503418.00
2550, 619693954.00
3000, 852078578.00
