N, ck
250, 1419690.00
500, 5028618.00
750, 10455994.00
1000, 18270400.00
1500, 39720384.00
2000, 69672826.00
2550, 113812398.00
3000, 157512110.00
250, 1418304.00
500, 5034826.00
750, 10668980.00
1000, 18183394.00
1500, 39485714.00
2000, 69763568.00
2550, 113446216.00
3000, 156846032.00
250, 1425152.00
500, 5030694.00
750, 10650600.00
1000, 18204358.00
1500, 39630186.00
2000, 69754622.00
2550, 112979296.00
3000, 157087498.00
250, 1431556.00
500, 5033296.00
750, 10698510.00
1000, 17779610.00
1500, 39113854.00
2000, 70537908.00
2550, 113971746.00
3000, 157413966.00
250, 1392936.00
500, 5002726.00
750, 10347950.00
1000, 17779838.00
1500, 39340124.00
2000, 69950488.00
2550, 112830034.00
3000, 156225016.00
250, 1420588.00
500, 4997252.00
750, 10379762.00
1000, 17722642.00
1500, 39779072.00
2000, 70091300.00
2550, 113679820.00
3000, 156749600.00
250, 1431590.00
500, 4985182.00
750, 10408630.00
1000, 17754924.00
1500, 39666656.00
2000, 69683840.00
2550, 113105190.00
3000, 156241524.00
250, 1433438.00
500, 5026900.00
750, 10362774.00
1000, 17798452.00
1500, 38920342.00
2000, 70093232.00
2550, 112984358.00
3000, 157058298.00
250, 1421358.00
500, 5003526.00
750, 10838460.00
1000, 17726080.00
1500, 39556416.00
2000, 69681444.00
2550, 113479134.00
3000, 156384222.00
250, 1416540.00
500, 5012426.00
750, 10731846.00
1000, 17830436.00
1500, 39235646.00
2000, 69515974.00
2550, 113504828.00
3000, 158464978.00
