N, ck
250, 1454708.00
500, 5018630.00
750, 10590842.00
1000, 18121670.00
1500, 40114210.00
2000, 70260564.00
2550, 113012626.00
3000, 156857300.00
250, 1447716.00
500, 5017990.00
750, 10495566.00
1000, 18120806.00
1500, 40277152.00
2000, 69781430.00
2550, 113997000.00
3000, 156981386.00
250, 1436084.00
500, 5021286.00
750, 10403358.00
1000, 18054316.00
1500, 39913036.00
2000, 70003136.00
2550, 113249970.00
3000, 157494060.00
250, 1427698.00
500, 5032384.00
750, 10497050.00
1000, 18285166.00
1500, 39224272.00
2000, 70051664.00
2550, 113095790.00
3000, 156966800.00
250, 1424874.00
500, 5024804.00
750, 10431622.00
1000, 17896046.00
1500, 39267206.00
2000, 70325556.00
2550, 113318602.00
3000, 157071360.00
250, 1426748.00
500, 5000470.00
750, 10338818.00
1000, 17805172.00
1500, 40300088.00
2000, 70188114.00
2550, 113088508.00
3000, 156939430.00
250, 1472792.00
500, 5013332.00
750, 10406384.00
1000, 17806148.00
1500, 39737550.00
2000, 70150604.00
2550, 113449410.00
3000, 156975762.00
250, 1440896.00
500, 5014994.00
750, 10444392.00
1000, 18119780.00
1500, 39866276.00
2000, 70496272.00
2550, 113162864.00
3000, 156605120.00
250, 1780864.00
500, 5024888.00
750, 10693800.00
1000, 18273208.00
1500, 39488016.00
2000, 70235080.00
2550, 113141716.00
3000, 157162516.00
250, 1518832.00
500, 5027708.00
750, 10467712.00
1000, 18139426.00
1500, 39363648.00
2000, 69973662.00
2550, 113646760.00
3000, 157235752.00
