N, ck
250, 1398316.00
500, 4989714.00
750, 10782522.00
1000, 17776632.00
1500, 39351918.00
2000, 69550676.00
2550, 113262854.00
3000, 156786066.00
250, 1406386.00
500, 5029368.00
750, 10408656.00
1000, 17970780.00
1500, 39719174.00
2000, 70455152.00
2550, 113357370.00
3000, 156833796.00
250, 1409278.00
500, 5025884.00
750, 10392854.00
1000, 18343050.00
1500, 40447896.00
2000, 69875402.00
2550, 113625658.00
3000, 156919896.00
250, 1408650.00
500, 4994676.00
750, 10391208.00
1000, 17821914.00
1500, 39345462.00
2000, 70316846.00
2550, 112879336.00
3000, 156511732.00
250, 1428212.00
500, 5011202.00
750, 10733640.00
1000, 18222404.00
1500, 39843340.00
2000, 69522692.00
2550, 113153604.00
3000, 157014256.00
250, 1428784.00
500, 5008196.00
750, 10650352.00
1000, 17680576.00
1500, 39303036.00
2000, 70011048.00
2550, 113110296.00
3000, 157016918.00
250, 1429454.00
500, 4998204.00
750, 10761752.00
1000, 17835940.00
1500, 39841852.00
2000, 70428636.00
2550, 113696302.00
3000, 157451642.00
250, 1404404.00
500, 4992400.00
750, 10425546.00
1000, 17809960.00
1500, 39865106.00
2000, 70541726.00
2550, 112733380.00
3000, 156744324.00
250, 1423436.00
500, 4999286.00
750, 10364200.00
1000, 17770682.00
1500, 39436120.00
2000, 70281600.00
2550, 112991504.00
3000, 156876670.00
250, 1444360.00
500, 4998128.00
750, 10399056.00
1000, 18289298.00
1500, 39394508.00
2000, 69742376.00
2550, 112973302.00
3000, 157380094.00
